real,imag,np,sw,time
-0.22110588,-0.551424221,4096.0,10000.0,1268.309645909646
-0.30456463,-0.522793862,4096.0,10000.0,1269.3098901098901
-0.068571621,-0.898497827,4096.0,10000.0,1270.3101343101343
0.585332726,-0.691986618,4096.0,10000.0,1271.3103785103785
0.51921731,-0.00746142632,4096.0,10000.0,1272.310622710623
-0.0365271114,-0.0633909844,4096.0,10000.0,1273.310866910867
0.111038055,-0.544970123,4096.0,10000.0,1274.3111111111114
0.565443836,-0.391377438,4096.0,10000.0,1275.3113553113553
0.483734728,-0.108083958,4096.0,10000.0,1276.3115995115995
0.528824801,-0.27260947,4096.0,10000.0,1277.311843711844
1.02285474,-0.0159687948,4096.0,10000.0,1278.312087912088
0.882649938,0.79675009,4096.0,10000.0,1279.3123321123323
0.0736191951,0.934433117,4096.0,10000.0,1280.3125763125763
-0.154439864,0.416430125,4096.0,10000.0,1281.3128205128207
0.100992868,0.375283375,4096.0,10000.0,1282.313064713065
-0.0889798167,0.563402515,4096.0,10000.0,1283.313308913309
-0.255374387,0.275623472,4096.0,10000.0,1284.3135531135533
0.112292897,0.238703112,4096.0,10000.0,1285.3137973137973
0.0403174738,0.824108967,4096.0,10000.0,1286.3140415140417
-0.765498855,0.875587543,4096.0,10000.0,1287.3142857142857
-1.08357034,0.139779348,4096.0,10000.0,1288.31452991453
-0.725923475,-0.236614423,4096.0,10000.0,1289.3147741147743
-0.660607345,-0.220728526,4096.0,10000.0,1290.3150183150183
-0.658183748,-0.58204759,4096.0,10000.0,1291.3152625152627
-0.0912839562,-0.772307299,4096.0,10000.0,1292.3155067155067
0.201180821,-0.228233172,4096.0,10000.0,1293.315750915751
-0.326223888,0.0153987695,4096.0,10000.0,1294.3159951159953
-0.563820383,-0.564112148,4096.0,10000.0,1295.3162393162393
-0.063320135,-0.897337339,4096.0,10000.0,1296.3164835164837
0.230011991,-0.699568898,4096.0,10000.0,1297.3167277167277
0.299979645,-0.767787158,4096.0,10000.0,1298.316971916972
0.844070578,-0.776771608,4096.0,10000.0,1299.3172161172163
1.20700165,-0.0391570437,4096.0,10000.0,1300.3174603174605
0.650766375,0.564241578,4096.0,10000.0,1301.3177045177047
0.135339138,0.265343051,4096.0,10000.0,1302.3179487179486
0.362831136,-0.0136565035,4096.0,10000.0,1303.318192918193
0.498463864,0.241913994,4096.0,10000.0,1304.3184371184373
0.313526012,0.272963045,4096.0,10000.0,1305.3186813186815
0.542142067,0.18680578,4096.0,10000.0,1306.3189255189257
0.754187138,0.759382085,4096.0,10000.0,1307.3191697191698
0.0834930579,1.32258959,4096.0,10000.0,1308.319413919414
-0.699530717,0.935911765,4096.0,10000.0,1309.319658119658
-0.68201029,0.346765888,4096.0,10000.0,1310.3199023199024
-0.538985146,0.288708045,4096.0,10000.0,1311.3201465201466
-0.69977423,0.117392406,4096.0,10000.0,1312.3203907203908
-0.464228979,-0.251264188,4096.0,10000.0,1313.320634920635
-0.049086395,0.00652820298,4096.0,10000.0,1314.3208791208795
-0.415477681,0.46752538,4096.0,10000.0,1315.3211233211234
-1.04150542,0.0791666094,4096.0,10000.0,1316.3213675213676
-0.884032766,-0.629388471,4096.0,10000.0,1317.3216117216118
-0.439165708,-0.763557712,4096.0,10000.0,1318.321855921856
-0.321785536,-0.823469242,4096.0,10000.0,1319.3221001221004
0.0695903562,-1.08512352,4096.0,10000.0,1320.3223443223444
0.71716564,-0.755041784,4096.0,10000.0,1321.3225885225888
0.621107242,-0.0286740339,4096.0,10000.0,1322.3228327228328
0.0399759136,-0.0330849145,4096.0,10000.0,1323.323076923077
0.0944518795,-0.505398128,4096.0,10000.0,1324.3233211233212
0.511303806,-0.466490544,4096.0,10000.0,1325.3235653235654
0.554458947,-0.254334399,4096.0,10000.0,1326.3238095238098
0.708482065,-0.316764015,4096.0,10000.0,1327.3240537240538
1.16227722,0.0545027325,4096.0,10000.0,1328.324297924298
0.961543845,0.887300521,4096.0,10000.0,1329.3245421245422
0.124063076,1.05250747,4096.0,10000.0,1330.3247863247864
-0.195372348,0.553035492,4096.0,10000.0,1331.3250305250308
-0.016227491,0.411645599,4096.0,10000.0,1332.3252747252748
-0.133375297,0.496738374,4096.0,10000.0,1333.3255189255192
-0.205235188,0.252905493,4096.0,10000.0,1334.3257631257632
0.134259093,0.285382424,4096.0,10000.0,1335.3260073260074
0.0231471272,0.8494105,4096.0,10000.0,1336.3262515262518
-0.760717925,0.896767115,4096.0,10000.0,1337.3264957264958
-1.10984927,0.196395975,4096.0,10000.0,1338.3267399267402
-0.813302268,-0.233004971,4096.0,10000.0,1339.3269841269841
-0.695662676,-0.302024791,4096.0,10000.0,1340.3272283272286
-0.60373234,-0.628273379,4096.0,10000.0,1341.3274725274725
-0.0562378601,-0.749485411,4096.0,10000.0,1342.3277167277167
0.201496096,-0.227106567,4096.0,10000.0,1343.3279609279612
-0.282752152,0.00925032137,4096.0,10000.0,1344.3282051282051
-0.520102309,-0.503107031,4096.0,10000.0,1345.3284493284496
-0.092749288,-0.82980426,4096.0,10000.0,1346.3286935286935
0.196239127,-0.690320222,4096.0,10000.0,1347.328937728938
0.308305034,-0.740701965,4096.0,10000.0,1348.3291819291821
0.806646745,-0.706383113,4096.0,10000.0,1349.329426129426
